0,0,S,4,0,0
0,1,I,2,0,0
0,2,S,3,0,0
0,3,I,1,0,0
0,4,S,2,0,0
1,0,S,2,1,1567
1,1,I,4,2,185
1,2,S,1,1,148
1,3,U,2,0,142
1,4,S,4,0,21
2,0,S,4,0,125
2,1,U,4,2,165
2,2,S,3,0,150
2,3,U,0,1,162
2,4,S,0,1,169
2,5,U,3,1,172
2,6,S,3,1,159
2,7,U,1,1,172
2,8,S,4,1,161
2,9,I,0,0,24
2,10,S,5,0,149
2,11,U,4,1,176
2,12,S,3,1,165
2,13,I,3,0,13
2,14,S,4,1,142
2,15,I,1,1,175
2,16,S,1,0,145
2,17,U,3,1,158
2,18,S,0,1,157
2,19,I,1,0,44
3,0,S,5,0,327
3,1,U,4,1,167
3,2,S,3,1,124
3,3,I,3,0,138
3,4,S,0,0,5
4,0,S,2,0,141
4,1,I,0,0,8
4,2,S,3,0,152
4,3,U,4,1,153
4,4,S,2,1,161
4,5,I,0,0,24
4,6,S,4,0,137
4,7,U,1,1,142
4,8,S,2,1,148
4,9,U,0,1,146
4,10,S,4,0,143
4,11,U,4,0,109
4,12,S,5,1,178
4,13,I,3,0,12
4,14,S,0,0,143
4,15,U,4,2,163
4,16,S,3,0,163
4,17,U,1,1,166
4,18,S,1,1,145
4,19,U,4,1,194
5,0,S,5,0,0
5,1,I,2,0,0
5,2,S,2,0,0
5,3,U,0,0,0
5,4,S,1,0,0
5,5,I,3,0,0
5,6,S,0,0,0
5,7,I,2,0,0
5,8,S,3,0,0
5,9,I,1,0,0
5,10,S,2,0,0
5,11,U,2,0,0
5,12,S,5,0,0
5,13,I,0,0,0
5,14,S,0,0,0
5,15,U,1,0,0
5,16,S,2,0,0
5,17,U,4,0,0
5,18,S,5,0,0
5,19,U,2,0,0
