0,0,S,2,1,563
0,1,I,2,1,179
0,2,S,5,1,171
0,3,U,3,0,68
0,4,S,3,0,118
0,5,I,2,1,184
0,6,S,2,1,234
0,7,I,1,0,247
0,8,S,3,1,294
0,9,I,4,1,201
0,10,S,5,1,200
0,11,U,1,0,103
0,12,S,2,0,109
0,13,U,3,0,92
0,14,S,5,0,116
0,15,I,1,1,200
0,16,S,2,1,194
0,17,U,4,0,140
0,18,S,3,0,16
0,19,U,1,0,147
1,0,S,2,0,1430508878472
1,1,U,4,1,160
1,2,S,0,1,228
1,3,U,1,1,217
1,4,S,5,0,190
1,5,I,4,2,324
1,6,S,3,1,217
1,7,I,3,1,216
1,8,S,2,1,208
1,9,I,1,1,187
1,10,S,3,1,182
1,11,U,4,0,111
1,12,S,0,0,72
1,13,I,3,1,169
1,14,S,3,0,174
1,15,I,1,1,193
1,16,S,0,1,182
1,17,U,0,0,56
1,18,S,5,0,143
1,19,I,1,1,178
2,0,S,0,0,559
2,1,U,4,1,403
2,2,S,2,1,335
2,3,U,1,1,374
2,4,S,4,1,371
2,5,U,2,1,348
2,6,S,2,1,346
2,7,I,1,0,162
2,8,S,0,0,180
2,9,U,2,1,306
3,0,S,3,1,1430508886441
3,1,I,0,0,111
3,2,S,2,0,109
3,3,I,4,0,105
3,4,S,1,0,86
3,5,I,2,0,110
3,6,S,4,0,60
3,7,U,4,1,159
3,8,S,3,1,150
3,9,U,3,0,131
3,10,S,5,1,141
3,11,I,2,0,40
3,12,S,3,0,102
3,13,U,3,1,144
3,14,S,0,1,112
3,15,I,2,0,161
3,16,S,2,0,21
3,17,I,1,1,155
3,18,S,3,0,132
3,19,I,0,0,55
4,0,S,2,0,0
4,1,I,1,0,0
4,2,S,5,0,0
4,3,U,0,0,0
4,4,S,3,0,0
4,5,U,1,0,0
4,6,S,5,0,0
4,7,I,3,0,0
4,8,S,3,0,0
4,9,I,4,0,0
4,10,S,5,0,0
4,11,I,0,0,0
4,12,S,0,0,0
4,13,I,3,0,0
4,14,S,5,0,0
4,15,I,4,0,0
4,16,S,4,0,0
4,17,I,1,0,0
4,18,S,2,0,0
4,19,I,4,0,0
5,0,S,2,0,0
5,1,U,3,0,0
5,2,S,4,0,0
5,3,U,2,0,0
5,4,S,0,0,0
5,5,U,1,0,0
5,6,S,5,0,0
5,7,I,3,0,0
5,8,S,3,0,0
5,9,U,2,0,0
5,10,S,4,0,0
5,11,I,3,0,0
5,12,S,3,0,0
5,13,I,4,0,0
5,14,S,0,0,0
5,15,I,0,0,0
5,16,S,3,0,0
5,17,I,2,0,0
5,18,S,1,0,0
5,19,I,4,0,0
6,0,S,4,0,0
6,1,U,2,0,0
6,2,S,1,0,0
6,3,U,4,0,0
6,4,S,2,0,0
6,5,U,2,0,0
6,6,S,0,0,0
6,7,I,1,0,0
6,8,S,2,0,0
6,9,I,4,0,0
6,10,S,0,0,0
6,11,U,2,0,0
6,12,S,2,0,0
6,13,I,0,0,0
6,14,S,4,0,0
6,15,U,4,0,0
6,16,S,2,0,0
6,17,U,2,0,0
6,18,S,1,0,0
6,19,U,1,0,0
